"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.262012917E-1,2.389733648E0,-1.435999215E1,5.388881654E0,1.552289428E1
7.362412917E-1,4.765518764E0,-1.298936738E1,8.610471776E0,1.629644311E1
7.462822917E-1,7.591192160E0,-9.603444768E0,1.457027089E1,1.903011150E1
7.563232917E-1,8.252080725E0,-6.400743492E0,1.869241525E1,2.141197659E1
7.663632917E-1,8.048565461E0,-4.284812733E0,1.812813789E1,2.029207751E1
7.764042917E-1,8.988397788E0,-2.318441471E0,1.687629814E1,1.926073478E1
7.864452917E-1,1.152632269E1,-1.606319602E0,1.547678929E1,1.936407457E1
7.964852917E-1,1.393360851E1,-1.979691803E-1,1.519512189E1,2.061738022E1
8.065262917E-1,1.375472347E1,1.750487382E0,1.530724693E1,2.065353317E1
8.165672917E-1,1.330431829E1,2.445275180E0,1.545367992E1,2.053778175E1
8.266072917E-1,1.240532175E1,1.901222169E0,1.480767252E1,1.941066251E1
8.366482917E-1,1.123414083E1,6.359016591E-1,1.425241040E1,1.815878556E1
8.466882917E-1,1.139072459E1,-9.852640235E-1,1.627284794E1,1.988780862E1
8.567292917E-1,1.218537055E1,-2.184233254E0,1.850782918E1,2.226642924E1
8.667702917E-1,1.192918649E1,-2.894168265E0,1.954307988E1,2.307842437E1
8.768102917E-1,1.198927598E1,-3.221063288E0,1.879807561E1,2.252744180E1
8.868512917E-1,1.143945762E1,-3.326297967E0,1.642671157E1,2.029192701E1
8.968922917E-1,1.075750270E1,-3.499042844E0,1.203259450E1,1.651515957E1
9.069322917E-1,1.233760865E1,-2.432429432E0,6.090089110E0,1.397220404E1
9.169732917E-1,1.533838803E1,6.874097818E-1,5.308570147E-2,1.535387566E1
9.270142917E-1,1.644169915E1,4.609547794E0,-8.245616044E0,1.896226742E1
9.370542917E-1,1.548509467E1,5.876585047E0,-1.224089805E1,2.059519346E1
9.470952917E-1,1.520421314E1,3.592272604E0,-6.154367552E0,1.679132990E1
9.571352917E-1,1.525268188E1,3.198705289E0,-6.716667384E0,1.697025754E1
9.671762917E-1,1.046393740E1,2.756524224E0,-3.181691938E0,1.127898822E1
9.772172917E-1,7.073974945E0,-1.042131704E-1,-2.987304178E0,7.679581249E0
9.872572917E-1,4.533182573E0,-9.926671833E-1,-5.000005560E0,6.821670468E0
9.972982917E-1,2.921874419E0,-1.690025418E0,-2.448495827E0,4.169972164E0
1.007339292E0,4.244418121E0,6.833933294E-2,6.150955117E-1,4.289300402E0
1.017379292E0,4.697991317E0,4.814354124E0,3.443449271E0,7.556882355E0
1.027420292E0,1.597807226E0,7.730614339E0,6.495777118E-1,7.920690449E0
1.037461292E0,4.096052917E0,7.778795396E0,9.497521287E-1,8.842473433E0
1.047501292E0,5.616043058E0,7.691032782E0,5.318865339E0,1.090789867E1
1.057542292E0,-2.629264253E0,1.055234145E1,-2.778575828E0,1.122432288E1
1.067583292E0,-7.701778210E0,7.848795923E0,-2.059045537E0,1.118752223E1
1.077623292E0,-6.250342580E0,2.972631467E0,-1.608964882E0,7.105778508E0
1.087664292E0,-1.007355857E1,3.603192279E0,-7.095956383E0,1.283791937E1
1.097704292E0,-1.403316086E1,4.037579007E0,-1.078937354E1,1.815605214E1
1.107745292E0,-8.819067101E0,3.987444395E0,-7.963758615E0,1.253383854E1
1.117786292E0,-5.158307814E0,4.646630836E0,-7.165647007E0,9.977264889E0
1.127826292E0,-4.422952033E0,4.930027837E0,-6.134592853E0,9.027785367E0
1.137867292E0,-2.028692640E0,4.080329754E0,-4.016095167E0,6.074018861E0
1.147908292E0,-7.980472881E-1,1.402007947E0,-2.214076858E0,2.739460182E0
1.157948292E0,9.179046839E-2,-2.015435248E0,-4.623510361E-1,2.069824439E0
1.167989292E0,1.518354675E0,-3.526604279E0,1.966169533E0,4.313717804E0
1.178030292E0,3.622769634E0,-3.305100056E0,3.584737297E0,6.074412539E0
1.188070292E0,6.611585317E0,-2.572860256E0,3.701666992E0,8.002187753E0
1.198111292E0,7.480120205E0,-1.807056270E0,3.441544248E0,8.429820725E0
1.208151000E0,6.966628252E0,-1.493023952E0,3.121785167E0,7.778725625E0
1.218192000E0,6.536159159E0,-2.225379526E0,3.599555896E0,7.786558497E0
1.228233000E0,5.051706641E0,-3.005457151E0,3.225721765E0,6.705057313E0
1.238273000E0,2.736866469E0,-3.272943878E0,1.626630490E0,4.566018665E0
1.248314000E0,-2.246342379E-1,-2.851512827E0,1.238544356E0,3.116982204E0
1.258355000E0,-1.143790226E0,-1.527398563E0,-7.191256642E-2,1.909548080E0
1.268395000E0,-3.252127790E-1,-2.618681377E-1,-1.721555943E0,1.771466381E0
1.278436000E0,-1.620668962E0,1.043432710E0,-2.038711259E0,2.805648464E0
1.288477000E0,-2.267964359E0,1.547546899E0,-1.718646954E0,3.239183707E0
1.298517000E0,-4.033689731E0,2.168121836E0,-7.429518986E-1,4.639329980E0
1.308558000E0,-4.390408477E0,3.362441946E0,-1.835567293E0,5.826749499E0
1.318598000E0,-3.272640992E0,5.073385193E0,-1.501949142E0,6.221355769E0
1.328639000E0,-2.918969230E0,6.897554508E0,-2.241795584E0,7.818074379E0
1.338680000E0,-2.541294647E0,6.778273648E0,-2.002153590E0,7.510778331E0
1.348720000E0,-3.239236434E0,6.378083192E0,1.139217703E0,7.243646517E0
1.358761000E0,-3.163636613E0,6.316481021E0,1.253842134E0,7.174862313E0
1.368802000E0,-4.341578380E0,6.771380950E0,-3.912832169E0,8.944895661E0
1.378842000E0,-3.741450278E0,5.254692147E0,-3.805160955E0,7.489291665E0
1.388883000E0,-1.822688655E0,3.743547090E0,-6.445226769E0,7.673153645E0
1.398924000E0,-1.206134555E0,3.268753179E0,-9.080621828E0,9.726109227E0
1.408964000E0,-9.159078598E-3,6.839821440E-1,-4.591733083E0,4.642405429E0
1.419005000E0,-1.664426161E0,-1.810212012E0,-9.308401868E-1,2.629381187E0
1.429045000E0,-7.430989560E-1,5.094866109E-1,-1.748054355E0,1.966587576E0
1.439086000E0,1.856918109E0,4.623249575E0,-3.187015536E0,5.914359604E0
1.449127000E0,2.425550768E-1,-2.516641617E-2,1.778566296E0,1.795205945E0
1.459167000E0,-1.560117681E0,-5.580437608E0,4.174598273E0,7.141604989E0
