"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.995583750E-1,1.984579608E1,2.580322473E0,-9.113400149E-1,2.003357748E1
6.094933750E-1,1.944855964E1,6.854093909E0,1.656668807E0,2.068742678E1
6.194293750E-1,1.407937374E1,4.500725264E0,-6.282736740E-1,1.479459431E1
6.293643750E-1,8.986515570E0,2.821918899E-1,3.859302079E0,9.784237675E0
6.393003750E-1,-1.929881712E0,-1.262496305E0,2.415214645E0,3.339401462E0
6.492353750E-1,2.158669227E-1,-9.917953634E-1,3.043755244E0,3.208535890E0
6.591713750E-1,4.299323183E-1,-2.898406327E-2,1.629670750E0,1.685677498E0
6.691063750E-1,2.681242492E0,1.506695327E0,-6.988849425E-1,3.153986726E0
6.790423750E-1,3.608919627E0,2.991760048E0,1.319235055E0,4.869836772E0
6.889773750E-1,3.696527874E0,3.241637301E0,5.133432004E0,7.108069700E0
6.989133750E-1,2.575548806E0,2.946794375E0,6.103665175E0,7.250639787E0
7.088483750E-1,9.082339740E-1,3.353666444E0,5.624123325E0,6.610804093E0
7.187843750E-1,-4.446292949E-1,3.859094503E0,5.243287153E0,6.525516513E0
7.287193750E-1,1.448747081E-1,3.873741778E0,3.760318658E0,5.400635190E0
7.386553750E-1,2.164613507E0,4.566573683E0,1.803798201E0,5.365895525E0
7.485913750E-1,2.730616381E0,5.418842202E0,2.305374699E0,6.491137738E0
7.585263750E-1,3.000978184E-1,4.810842286E0,3.063096664E0,5.711114022E0
7.684623750E-1,-2.890579244E0,2.959658834E0,2.072459049E0,4.627106579E0
7.783973750E-1,-2.306945845E0,1.559141343E0,5.598826297E-1,2.840138979E0
7.883333750E-1,-9.173339957E-1,8.994228047E-1,-1.051128230E0,1.659919756E0
7.982683750E-1,-8.418388402E-1,5.004263502E-1,-1.761783618E0,2.015688637E0
8.082043750E-1,3.077986014E-1,9.457409388E-1,-2.273766990E0,2.481769978E0
8.181393750E-1,1.369141333E0,1.355340734E0,-4.453611324E0,4.852437565E0
8.280753750E-1,1.261099990E0,1.824008517E0,-6.007826972E0,6.404011648E0
8.380103750E-1,2.313585359E0,2.551588086E0,-5.886942805E0,6.820511312E0
8.479463750E-1,4.436683635E0,2.994778381E0,-6.616170119E0,8.510379913E0
8.578813750E-1,2.298177946E0,2.928289107E0,-5.113675432E0,6.325043509E0
8.678173750E-1,-1.212045944E-1,1.992152805E0,-4.163968327E0,4.617574643E0
8.777523750E-1,-1.377249666E0,1.277769817E0,-4.444255779E0,4.825030754E0
8.876883750E-1,-2.237130675E0,1.099285898E0,-5.357054089E0,5.908571034E0
8.976233750E-1,-2.429789414E0,6.778805745E-1,-5.241642916E0,5.817062758E0
