Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
67.94888654,-6.393632693,8.03236692,-0.4750056533,10.27730936
67.95892754,-8.38331154,11.10830173,1.198990354,13.96824461
67.96896854,-8.377958415,13.37438782,2.673745776,16.0066659
67.97900954,-6.763888328,14.89294598,4.274652611,16.90629114
67.98905054,-4.89221097,15.30891924,4.614028516,16.7208252
67.99909054,-2.400479077,14.62094169,3.875457351,15.31513648
68.00913154,-1.802557422,13.8531134,2.344290258,14.16522717
68.01917254,-2.105542011,13.90020453,1.465431526,14.13493837
68.02921354,-2.439770319,14.23439746,1.669526249,14.53815216
68.03925454,-2.159547479,14.07206589,1.940737653,14.36847753
68.04929554,-0.6037478568,14.05013767,2.744191861,14.32834495
68.05933654,1.884770151,13.6523282,3.921203628,14.32879135
68.06937754,3.903295945,12.30204121,4.460568341,13.65549732
68.07941754,4.930890301,10.30136024,3.639399408,11.98653119
68.08945854,3.11833648,8.879977546,1.828524907,9.587571484
68.09949954,1.447532614,8.467954665,0.7830614591,8.626400879
68.10954054,0.2307003587,8.169451967,-0.442776897,8.18469422
68.11958154,-0.8875676481,7.764877269,-1.493702813,7.956899108
68.12962254,-1.629267877,7.310945054,-1.951533952,7.740343413
68.13966354,-2.124582007,6.708809896,-2.27784016,7.396656996
68.14970354,-2.585440541,5.956162729,-2.994405913,7.150303771
68.15974454,-3.059816961,5.723475705,-3.342309397,7.300115485
68.16978554,-2.4920225,5.678826367,-2.562481449,6.71010851
68.17982654,-1.637000089,5.188948393,-1.122583544,5.555641145
68.18986754,-0.7071757096,4.958793799,0.3244947775,5.01946514
68.19990854,0.2292864288,4.567646062,0.9325958133,4.66751516
68.20994954,0.5679894653,2.891183846,0.9122568583,3.084439761
68.21999054,0.2872875921,-1.073593817,1.162041652,1.607942364
68.23003154,0.826129199,-12.27877865,1.700750381,12.42350379
68.24007154,4.120507435,-40.34603125,3.125081828,40.67612267
68.25011254,1.996589672,-66.10380206,3.083038008,66.2057712
68.26015354,-9.430295849,-45.93248447,-2.966793022,46.98431089
68.27019429,-4.895933307,-21.84091985,-8.953644862,24.10733704
68.28023529,8.748229253,-16.03847516,-7.820726949,19.87279474
68.29027629,19.16303191,-19.38728316,-1.484333235,27.3000327
68.30031729,19.29554385,-19.54737992,1.713154664,27.52004675
68.31035829,10.07058584,-13.88303711,2.442933955,17.32406837
68.32039829,6.327777257,-8.632350887,0.3172231436,10.70788856
68.33043929,4.827425867,-4.237801119,-1.01530234,6.503371254
68.34048029,2.208003355,-0.2629644907,-1.82282738,2.875261518
68.35052129,-0.2910565977,2.40313956,-1.895225265,3.074357248
68.36056229,-3.221887745,4.510234006,-2.098285031,5.92668301
68.37060329,-5.566397274,7.27617634,-1.692387693,9.31620614
68.38064429,-6.662450831,9.687686189,-0.6297029527,11.77438069
68.39068529,-6.638685992,10.93209472,0.8862977059,12.82062285
68.40072529,-5.821576197,11.76036451,1.557988272,13.21454692
68.41076629,-4.102875741,12.44380345,2.030459961,13.25913275
68.42080729,-2.593911402,13.27602362,2.035323383,13.67931726
68.43084829,-1.636845576,14.77306987,1.934455258,14.9888283
68.44088929,-1.226600248,16.30506142,2.387136461,16.5244666
68.45093029,-1.159659277,17.46604012,4.022710122,17.96077849
68.46097129,-1.361583514,17.73932962,4.63319335,18.38489069
68.47101229,-0.6609876761,17.04002368,4.345651842,17.59784083
68.48105229,0.955652554,15.02033926,4.589394196,15.73487853
68.49109329,1.398517452,12.23789258,5.392399338,13.44618297
68.50113429,0.6799491732,9.745475391,4.501883597,10.75655974
68.51117529,-0.1791961829,8.51731452,2.817769715,8.973103369
68.52121629,-0.7329078439,7.839176084,1.342920663,7.987069017
68.53125729,-0.9600902984,7.250616406,0.06357092857,7.31418163
68.54129829,-0.5417056462,6.776141753,-0.7467338777,6.838651442
68.55133829,0.2189515483,6.204240208,-1.668669047,6.428451815
68.56137929,0.7577467429,5.051431822,-3.342561997,6.104413508
68.57142029,1.199375539,4.140263715,-5.341159018,6.863546093
68.58146129,1.880179794,3.930676117,-5.351287565,6.900838312
68.59150229,1.500919739,4.778726454,-2.984145219,5.830446748
68.60154329,-0.15294657,5.691996635,-0.2235857956,5.698439168
68.61158429,-0.4648579567,5.305521408,1.351930053,5.494757975
68.62162529,-0.1611841274,3.540490832,1.853326457,3.999484293
68.63166629,0.2017827344,1.162706553,1.850895184,2.195089015
68.64170629,1.027353744,-4.140823878,1.981730143,4.704161186
68.65174729,2.711873716,-22.08591117,1.532252337,22.30447329
68.66178829,6.746868837,-61.7900117,3.558641174,62.25905325
68.67182929,1.160826089,-71.36869117,-1.65520174,71.3973199
68.68187029,-5.871688589,-35.1830287,-10.07271891,37.06456396
68.69191129,1.892546656,-15.98336165,-8.552786654,18.22634747
68.70195229,11.0292579,-11.98801299,-2.999829791,16.56369415
68.71199329,18.27389143,-15.45097617,1.6860306,23.98979933
68.72203329,20.79102188,-15.0372459,4.908323557,26.12426066
68.73207429,14.13359381,-8.892774763,4.598250389,17.32004109
68.74211529,8.396849599,-3.428456426,0.4365930279,9.080308922
68.75215629,6.385545409,0.3011386228,-0.1850468338,6.395319927
68.76219729,1.54600645,3.296763681,0.8984175222,3.750458739
68.77223829,-4.31763754,6.176472366,-0.04290701464,7.536089558
68.78227929,-9.161822112,7.983293577,-1.158374205,12.20712053
68.79232029,-12.67458837,9.118677846,-1.370302005,15.67396579
68.80236029,-14.52169924,10.22483188,-0.2581286971,17.76213856
68.81240129,-14.57680691,10.76739269,1.138018001,18.15805964
68.82244229,-11.76917392,11.10939165,1.34198277,16.239857
68.83248329,-7.051086604,11.25626903,0.2477805141,13.28468328
68.84252429,-3.698710932,11.41344219,0.03777052805,11.99785613
